Character Counts:
shoulders: 2
lined: 1
flame: 2
coloured: 2
silk: 1
secured: 1
neck: 1
brooch: 1
consisted: 1
single: 2
flaming: 1
boots: 1
extended: 1
halfway: 2
calves: 1
trimmed: 1
tops: 1
fur: 1
completed: 1
impression: 1
barbaric: 1
opulence: 1
suggested: 1
appearance: 4
carried: 2
broad: 3
brimmed: 1
hand: 16
wore: 2
upper: 1
extending: 1
past: 4
cheekbones: 1
vizard: 1
apparently: 1
raised: 1
lower: 1
appeared: 4
hanging: 2
straight: 1
chin: 1
suggestive: 1
resolution: 1
pushed: 4
length: 1
obstinacy: 1
harsh: 1
voice: 4
strongly: 1
marked: 1
accent: 1
uncertain: 1
pray: 5
seat: 1
colleague: 1
dr: 2
occasionally: 2
cases: 4
whom: 8
honour: 3
count: 3
von: 4
kramm: 2
nobleman: 1
understand: 7
discretion: 1
trust: 3
extreme: 2
prefer: 1
communicate: 1
alone: 2
rose: 3
caught: 4
wrist: 2
back: 10
chair: 7
none: 7
say: 9
anything: 5
shrugged: 1
begin: 3
binding: 1
absolute: 1
secrecy: 1
years: 6
end: 7
present: 6
weight: 1
influence: 2
european: 1
history: 1
promise: 1
excuse: 3
strange: 4
august: 1
person: 6
employs: 1
wishes: 1
agent: 4
unknown: 1
confess: 1
once: 12
called: 3
exactly: 1
aware: 3
dryly: 1
circumstances: 1
delicacy: 2
precaution: 2
taken: 3
quench: 1
grow: 1
seriously: 3
compromise: 1
families: 1
speak: 1
plainly: 1
implicates: 1
house: 16
ormstein: 2
hereditary: 2
kings: 1
murmured: 3
settling: 1
closing: 1
glanced: 3
apparent: 1
surprise: 3
languid: 1
lounging: 2
depicted: 1
incisive: 2
energetic: 2
slowly: 2
reopened: 1
impatiently: 1
gigantic: 1
majesty: 18
condescend: 1
state: 1
able: 8
advise: 1
sprang: 2
paced: 3
uncontrollable: 1
agitation: 1
gesture: 1
desperation: 1
tore: 3
hurled: 1
ground: 2
cried: 10
king: 17
why: 12
attempt: 2
conceal: 1
addressing: 1
wilhelm: 1
gottsreich: 1
sigismond: 1
grand: 1
duke: 1
cassel: 1
felstein: 1
sitting: 7
passing: 2
white: 3
forehead: 2
accustomed: 3
doing: 2
business: 11
confide: 1
putting: 4
incognito: 1
prague: 1
purpose: 1
consulting: 1
shutting: 1
briefly: 1
during: 1
lengthy: 1
visit: 1
warsaw: 2
acquaintance: 1
known: 1
adventuress: 1
familiar: 1
look: 10
index: 1
opening: 2
adopted: 1
system: 2
docketing: 1
paragraphs: 1
concerning: 1
difficult: 1
subject: 2
furnish: 1
found: 12
biography: 1
sandwiched: 1
hebrew: 1
rabbi: 1
staff: 1
commander: 1
monograph: 1
sea: 1
fishes: 2
hum: 3
born: 1
jersey: 1
year: 3
1858: 1
contralto: 1
la: 1
scala: 1
prima: 1
donna: 1
imperial: 1
opera: 1
retired: 1
